playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,inducted
aardsda01,331,4,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,N
aaronha01,3298,12364,2174,3771,624,98,755,2297.0,240.0,73.0,1402,1383.0,293.0,32.0,21.0,121.0,328.0,0.30499838240051763,Y
aaronto01,437,944,102,216,42,6,13,94.0,9.0,8.0,86,145.0,3.0,0.0,9.0,6.0,36.0,0.2288135593220339,N
aasedo01,448,5,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abadan01,15,21,1,2,0,0,0,0.0,0.0,1.0,4,5.0,0.0,0.0,0.0,0.0,1.0,0.09523809523809523,N
abadfe01,315,9,0,1,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,N
abadijo01,12,49,4,11,0,0,0,5.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.22448979591836735,N
abbated01,855,3044,355,772,99,43,11,324.0,142.0,0.0,289,16.0,0.0,33.0,93.0,0.0,0.0,0.2536136662286465,N
abbeybe01,79,225,21,38,3,3,0,17.0,3.0,0.0,21,54.0,0.0,0.0,4.0,0.0,0.0,0.1688888888888889,N
abbeych01,451,1751,307,492,67,46,19,280.0,93.0,0.0,167,105.0,0.0,23.0,18.0,0.0,0.0,0.28098229583095374,N
abbotda01,3,7,0,1,0,1,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,N
abbotfr01,160,513,48,107,21,6,1,49.0,14.0,0.0,19,0.0,0.0,8.0,20.0,0.0,0.0,0.20857699805068225,N
abbotgl01,248,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
abbotje01,233,596,82,157,33,2,18,83.0,6.0,5.0,38,91.0,2.0,3.0,5.0,7.0,12.0,0.2634228187919463,N
abbotji01,263,21,0,2,0,0,0,3.0,0.0,0.0,0,10.0,0.0,0.0,3.0,0.0,1.0,0.09523809523809523,N
abbotku01,702,2044,273,523,109,23,62,242.0,22.0,11.0,133,571.0,11.0,17.0,21.0,12.0,37.0,0.25587084148727984,N
abbotky01,57,31,2,3,1,0,0,2.0,0.0,0.0,1,19.0,0.0,0.0,6.0,0.0,0.0,0.0967741935483871,N
abbotod01,22,70,2,13,2,1,0,6.0,3.0,0.0,6,20.0,0.0,0.0,6.0,0.0,0.0,0.18571428571428572,N
abbotpa01,162,20,2,5,1,0,0,2.0,0.0,0.0,0,6.0,0.0,0.0,5.0,0.0,0.0,0.25,N
aberal01,168,100,5,14,0,0,0,6.0,0.0,0.0,8,41.0,0.0,0.0,8.0,1.0,2.0,0.14,N
abercda01,1,4,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abercre01,180,386,65,86,20,2,9,34.0,18.0,8.0,21,123.0,2.0,7.0,5.0,2.0,3.0,0.22279792746113988,N
abernbi01,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abernbr01,232,868,97,212,36,5,8,79.0,21.0,7.0,60,93.0,1.0,7.0,16.0,4.0,15.0,0.24423963133640553,N
abernte01,7,5,0,1,0,0,0,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.2,N
abernte02,681,181,12,25,3,0,0,9.0,0.0,0.0,6,74.0,0.0,2.0,15.0,0.0,4.0,0.13812154696132597,N
abernwo01,16,8,0,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,N
